-----------------------------------
 n m 時間計算量 GCD
-----------------------------------
 10360 345352 4 56
 1651 29029 7 13
 157115 650664 8 7
 700 67037110 3 70
 3183 4446 8 3
 26 360022 1 26
 1826052 46056 7 228
 12993926 2530 5 22
 98 686 1 98
 56 21168 1 56
 135 9514350 3 45
 168116 1753492 9 52
 146 112055 2 73
 4577 49816597 6 23
 2739484 2033844 9 92
 127273829 362255 8 53
 1303500 55 1 55
 883524 65087000 7 244
 156749392 9880 4 152
 45 1920285 1 45
